,SALES_ID,YEAR,SELLING_PRICE,KM_DRIVEN,POSTAL_CODE,FUEL,SELLER_TYPE,TRANSMISSION,OWNER,SEATS,MILEAGE_NO,STATE_NAME,CITY_NAME,SOLD,REGION,ENGINE_CC,MAX_POWER_BHP,COMPANY,MODEL
61,64,2013,425000,60000,208002,Diesel,Individual,Manual,First Owner,5,21.27,Uttar Pradesh,kanpur,Y,Central,1396,88.76,Hyundai,i20
62,65,2015,630000,147000,395007,Diesel,Individual,Manual,Second Owner,5,26.59,Gujarat,Surat,Y,West,1248,74.0,Maruti,Swift
63,66,2017,600000,25000,751022,Petrol,Individual,Manual,Third Owner,5,18.16,Odisha,Bhubaneshwar,Y,East,1196,86.8,Ford,Figo
64,67,2019,650000,30000,201301,Petrol,Individual,Manual,First Owner,5,21.4,Uttar Pradesh,Noida,Y,Central,1197,83.1,Maruti,Baleno
65,68,2016,540000,40000,208002,Diesel,Individual,Manual,First Owner,5,22.0,Uttar Pradesh,kanpur,Y,Central,1498,108.495,Volkswagen,Ameo
66,69,2015,630000,135000,641001,Diesel,Individual,Manual,First Owner,5,25.1,Tamil Nadu,Coimbatore,Y,South,1498,98.6,Honda,City
67,70,2018,448000,30000,641001,Petrol,Individual,Automatic,First Owner,5,20.51,Tamil Nadu,Coimbatore,Y,South,998,67.0,Maruti,Wagon
68,71,2017,500000,80000,400001,Diesel,Individual,Manual,First Owner,5,21.66,Maharashtra,Mumbai,Y,West,1498,108.62,Volkswagen,Ameo
69,72,2016,745000,70000,302029,Diesel,Individual,Manual,First Owner,5,24.3,Rajasthan,Jaipur,Y,North,1248,88.5,Maruti,Vitara
70,73,2019,1025000,9850,431001,Diesel,Individual,Automatic,First Owner,5,24.3,Maharashtra,Aurangabad,Y,West,1248,88.5,Maruti,Vitara
71,74,2011,235000,60000,737101,Petrol,Individual,Manual,Second Owner,5,20.36,Sikkim,Gangtok,Y,North East,1197,78.9,Hyundai,i10
72,75,2016,630000,70000,600020,Diesel,Individual,Manual,First Owner,5,25.2,Tamil Nadu,Chennai,Y,South,1248,74.0,Maruti,Swift
73,76,2015,1700000,78000,737101,Diesel,Individual,Manual,Second Owner,7,12.55,Sikkim,Gangtok,Y,North East,2982,168.5,Toyota,Fortuner
74,77,2013,450000,120000,682001,Diesel,Individual,Manual,Second Owner,5,22.9,Kerala,Kochi,Y,South,1248,74.0,Maruti,Swift
75,78,2012,450000,120000,575001,Petrol,Individual,Manual,Second Owner,7,16.02,Karnataka,Mangalore,Y,South,1373,93.7,Maruti,Ertiga
76,80,2013,450000,170000,600020,Diesel,Individual,Manual,First Owner,5,20.54,Tamil Nadu,Chennai,Y,South,1598,103.6,Volkswagen,Vento
77,81,2016,1200000,140000,382460,Diesel,Individual,Manual,First Owner,8,12.99,Gujarat,Ahmedabad,Y,West,2494,100.6,Toyota,Innova
78,82,2015,610000,90000,680004,Diesel,Individual,Manual,First Owner,5,22.77,Kerala,Thrissur,Y,South,1498,98.59,Ford,EcoSport
79,83,2016,2500000,30000,141003,Petrol,Individual,Automatic,Second Owner,5,15.71,Punjab,Ludhiana,Y,North,1998,189.0,BMW,X1
80,84,2017,484999,10000,524225,Petrol,Dealer,Manual,First Owner,5,23.1,Andhra Pradesh,Nellore,Y,South,998,67.04,Maruti,Celerio
81,85,2016,275000,49000,570004,Petrol,Dealer,Manual,First Owner,5,19.02,Karnataka,Mysore,Y,South,1198,67.05,Datsun,GO
82,86,2016,315000,32000,570004,Petrol,Dealer,Manual,First Owner,5,24.7,Karnataka,Mysore,Y,South,796,47.3,Maruti,Alto
83,87,2016,275000,38000,575001,Petrol,Dealer,Manual,First Owner,5,24.7,Karnataka,Mangalore,Y,South,796,47.3,Maruti,Alto
84,89,2012,290000,28000,452010,Petrol,Dealer,Manual,First Owner,5,19.81,Madhya Pradesh,Indore,Y,Central,1086,68.05,Hyundai,i10
85,90,2017,280000,32000,600020,Petrol,Dealer,Manual,First Owner,5,14.0,Tamil Nadu,Chennai,Y,South,796,35.0,Maruti,Omni
86,91,2010,225000,44000,391510,LPG,Dealer,Manual,First Owner,5,26.2,Gujarat,Vadodara,Y,West,998,58.2,Maruti,Wagon
87,92,2015,455000,42000,600020,Petrol,Dealer,Manual,First Owner,5,16.47,Tamil Nadu,Chennai,Y,South,1198,74.0,Volkswagen,Polo
88,93,2015,351000,45000,411002,Petrol,Dealer,Manual,Second Owner,5,19.81,Maharashtra,Pune,Y,West,1086,68.05,Hyundai,i10
89,94,2012,535000,12000,141003,Petrol,Dealer,Manual,Second Owner,5,15.04,Punjab,Ludhiana,Y,North,1598,103.6,Volkswagen,Vento
90,95,2009,175000,55500,737101,Petrol,Dealer,Manual,First Owner,5,18.2,Sikkim,Gangtok,Y,North East,998,67.1,Maruti,Zen
91,96,2013,525000,61500,570004,Petrol,Dealer,Manual,First Owner,5,18.5,Karnataka,Mysore,Y,South,1197,82.85,Hyundai,i20
92,97,2016,600000,150000,641001,Diesel,Individual,Manual,First Owner,5,26.59,Tamil Nadu,Coimbatore,Y,South,1248,74.0,Maruti,Swift
93,98,2016,565000,72000,395007,Petrol,Dealer,Automatic,First Owner,5,19.1,Gujarat,Surat,Y,West,1197,82.0,Hyundai,Xcent
94,99,2008,120000,68000,834001,Petrol,Dealer,Manual,Third Owner,5,19.7,Jharkhand,Ranchi,Y,East,796,46.3,Maruti,Alto
95,100,2017,725000,110000,560034,Diesel,Individual,Manual,First Owner,5,22.54,Karnataka,Bangalore,Y,South,1396,88.73,Hyundai,i20
96,101,2009,185000,77000,700027,Petrol,Dealer,Manual,Second Owner,5,21.79,West Bengal,Kolkata,Y,East,998,67.05,Maruti,Wagon
97,102,2010,200000,100000,524225,Diesel,Individual,Manual,Second Owner,5,18.8,Andhra Pradesh,Nellore,Y,South,1248,90.0,Tata,Manza
98,103,2019,615000,10000,737101,Petrol,Individual,Manual,First Owner,5,21.21,Sikkim,Gangtok,Y,North East,1197,81.8,Maruti,Swift
99,104,2016,270000,100000,575001,Petrol,Individual,Manual,Third Owner,7,15.37,Karnataka,Mangalore,Y,South,1196,73.0,Maruti,Eeco
100,105,2018,610000,35000,248001,Petrol,Individual,Manual,First Owner,5,21.4,Uttarakhand,Dehradun,Y,Central,1197,83.1,Maruti,Baleno
101,106,2014,625000,70000,524225,Diesel,Individual,Automatic,Second Owner,8,11.79,Andhra Pradesh,Nellore,Y,South,2179,120.0,Mahindra,Scorpio
102,107,2020,400000,5000,641001,Petrol,Individual,Manual,Second Owner,5,19.0,Tamil Nadu,Coimbatore,Y,South,1194,94.68,Ford,Freestyle
103,108,2017,866000,37800,431001,Petrol,Individual,Manual,First Owner,5,17.0,Maharashtra,Aurangabad,Y,West,1591,121.3,Hyundai,Verna
104,109,2010,700000,114000,700027,Petrol,Individual,Manual,First Owner,5,14.3,West Bengal,Kolkata,Y,East,1798,160.0,Volkswagen,Passat
105,110,2010,300000,48000,141003,Petrol,Individual,Manual,First Owner,5,15.8,Punjab,Ludhiana,Y,North,1172,65.0,Tata,Indica
106,111,2019,1700000,32000,382460,Diesel,Individual,Manual,First Owner,7,15.1,Gujarat,Ahmedabad,Y,West,2179,155.0,Mahindra,XUV500
107,112,2016,375000,100000,570004,Diesel,Individual,Manual,First Owner,5,19.09,Karnataka,Mysore,Y,South,1405,69.01,Tata,Indigo
108,113,2013,522000,150000,201301,Diesel,Individual,Manual,Second Owner,5,22.32,Uttar Pradesh,Noida,Y,Central,1582,126.32,Hyundai,Verna
109,114,2013,451999,69000,700027,Diesel,Individual,Manual,First Owner,5,21.9,West Bengal,Kolkata,Y,East,1396,88.76,Hyundai,i20
110,115,2009,300000,100000,524225,Petrol,Individual,Manual,Second Owner,5,14.53,Andhra Pradesh,Nellore,Y,South,1798,138.1,Toyota,Corolla
111,116,2020,475000,13000,575001,Petrol,Individual,Manual,First Owner,5,21.63,Karnataka,Mangalore,Y,South,998,67.04,Maruti,Celerio
112,117,2016,780000,60000,110039,Diesel,Individual,Manual,First Owner,5,24.3,Delhi,Delhi,Y,North,1248,88.5,Maruti,Vitara
113,118,2017,595000,40000,834001,Petrol,Individual,Manual,First Owner,5,20.85,Jharkhand,Ranchi,Y,East,1197,83.14,Maruti,Swift
114,119,2017,440000,35000,575001,Petrol,Individual,Manual,First Owner,5,20.51,Karnataka,Mangalore,Y,South,998,67.04,Maruti,Wagon
115,121,2014,400000,70000,400001,Diesel,Individual,Manual,Third Owner,5,20.45,Maharashtra,Mumbai,Y,West,1461,83.8,Nissan,Terrano
116,122,2016,1140000,50000,641001,Diesel,Individual,Manual,First Owner,5,19.67,Tamil Nadu,Coimbatore,Y,South,1582,126.2,Hyundai,Creta
117,123,2017,850000,76139,500004,Diesel,Individual,Manual,First Owner,5,23.0,Telangana,Hyderabad,Y,South,1498,98.96,Ford,EcoSport
118,124,2012,370000,175000,524225,Diesel,Individual,Manual,Fourth & Above Owner,5,19.3,Andhra Pradesh,Nellore,Y,South,1248,73.9,Maruti,Swift
119,125,2018,350000,25000,737101,Petrol,Individual,Manual,First Owner,5,23.01,Sikkim,Gangtok,Y,North East,999,67.0,Renault,KWID
120,126,2015,360000,40000,680004,Petrol,Individual,Manual,Second Owner,5,23.1,Kerala,Thrissur,Y,South,998,67.04,Maruti,Celerio
121,127,2008,105000,65000,110039,Petrol,Individual,Manual,Fourth & Above Owner,5,19.7,Delhi,Delhi,Y,North,796,46.3,Maruti,Alto
122,128,2013,625000,90000,641001,Diesel,Individual,Manual,Second Owner,7,20.77,Tamil Nadu,Coimbatore,Y,South,1248,88.76,Maruti,Ertiga
123,129,2009,135000,80000,682001,Petrol,Individual,Manual,Second Owner,5,17.92,Kerala,Kochi,Y,South,1086,62.1,Hyundai,Santro
124,130,2015,700000,110000,560034,Diesel,Individual,Manual,Second Owner,7,20.77,Karnataka,Bangalore,Y,South,1248,88.76,Maruti,Ertiga
125,131,2019,690000,1303,452010,Petrol,Dealer,Manual,First Owner,5,17.8,Madhya Pradesh,Indore,Y,Central,1198,86.7,Honda,Amaze
126,132,2018,3975000,31800,751022,Diesel,Dealer,Automatic,First Owner,5,17.01,Odisha,Bhubaneshwar,Y,East,1968,188.0,Audi,Q5
127,133,2019,5150000,20000,500004,Petrol,Dealer,Automatic,First Owner,5,22.37,Telangana,Hyderabad,Y,South,2487,214.56,Lexus,ES
128,134,2017,3200000,45000,201301,Diesel,Dealer,Automatic,First Owner,5,19.33,Uttar Pradesh,Noida,Y,Central,1999,177.0,Jaguar,XF
129,135,2017,4100000,17000,524225,Petrol,Individual,Automatic,First Owner,5,9.5,Andhra Pradesh,Nellore,Y,South,3604,280.0,Jeep,Wrangler
130,136,2019,4500000,21000,680004,Diesel,Dealer,Automatic,First Owner,7,12.83,Kerala,Thrissur,Y,South,1999,148.31,Land,Rover
131,137,2017,6000000,37000,560034,Diesel,Dealer,Automatic,First Owner,5,13.5,Karnataka,Bangalore,Y,South,2987,254.79,Mercedes-Benz,S-Class
132,138,2018,3790000,29500,680004,Diesel,Dealer,Automatic,First Owner,5,22.48,Kerala,Thrissur,Y,South,1995,187.74,BMW,5
133,140,2019,5800000,7500,600020,Diesel,Dealer,Automatic,First Owner,5,16.78,Tamil Nadu,Chennai,Y,South,1995,190.0,BMW,X4
134,141,2018,1864999,50000,800002,Petrol,Dealer,Automatic,First Owner,5,14.67,Bihar,Patna,Y,East,1798,177.46,Skoda,Superb
135,142,2016,2700000,35000,395007,Diesel,Dealer,Automatic,First Owner,5,15.0,Gujarat,Surat,Y,West,2143,204.0,Mercedes-Benz,E-Class
136,143,2019,1750000,19000,700027,Petrol,Dealer,Automatic,First Owner,5,13.96,West Bengal,Kolkata,Y,East,1451,141.0,MG,Hector
137,144,2017,795000,41000,575001,Petrol,Dealer,Automatic,First Owner,5,18.0,Karnataka,Mangalore,Y,South,1497,117.6,Honda,City
138,145,2013,625000,39000,680004,Petrol,Dealer,Automatic,First Owner,5,14.28,Kerala,Thrissur,Y,South,1798,138.03,Toyota,Corolla
139,146,2018,3400000,22000,400001,Diesel,Dealer,Automatic,First Owner,5,18.0,Maharashtra,Mumbai,Y,West,1969,190.0,Volvo,XC40
140,147,2015,2650000,53000,382460,Diesel,Dealer,Automatic,First Owner,7,12.07,Gujarat,Ahmedabad,Y,West,2967,241.4,Audi,Q7
141,148,2015,535000,40000,700027,Diesel,Dealer,Manual,First Owner,5,26.21,West Bengal,Kolkata,Y,East,1248,88.5,Maruti,Ciaz
142,149,2017,5850000,47000,395007,Diesel,Dealer,Automatic,First Owner,5,13.5,Gujarat,Surat,Y,West,2987,282.0,Mercedes-Benz,S-Class
143,150,2010,975000,72200,570004,Petrol,Dealer,Automatic,Second Owner,5,10.8,Karnataka,Mysore,Y,South,2497,150.0,BMW,5
144,151,2016,805000,49900,680004,Petrol,Dealer,Manual,First Owner,5,16.3,Kerala,Thrissur,Y,South,1797,147.5,Hyundai,Elantra
145,152,2017,2625000,9000,570004,Diesel,Dealer,Automatic,First Owner,5,13.6,Karnataka,Mysore,Y,South,1999,177.0,Jaguar,XE
146,153,2018,811000,11000,400001,Petrol,Dealer,Manual,First Owner,5,17.0,Maharashtra,Mumbai,Y,West,1198,108.5,Tata,Nexon
147,154,2011,375000,49000,411002,Petrol,Individual,Manual,First Owner,5,15.04,Maharashtra,Pune,Y,West,1598,103.6,Volkswagen,Vento
148,155,2012,550000,95000,500004,Petrol,Individual,Manual,First Owner,5,16.3,Telangana,Hyderabad,Y,South,1797,147.5,Hyundai,Elantra
149,156,2016,645000,11000,632001,Petrol,Dealer,Automatic,First Owner,5,14.3,Tamil Nadu,Vellore,Y,South,1598,103.5,Skoda,Rapid
150,157,2018,2550000,18000,682001,Petrol,Dealer,Automatic,First Owner,5,15.04,Kerala,Kochi,Y,South,1991,183.0,Mercedes-Benz,CLA
151,158,2014,599000,46100,575001,Petrol,Dealer,Manual,First Owner,7,16.02,Karnataka,Mangalore,Y,South,1373,93.7,Maruti,Ertiga
152,159,2017,2700000,16000,632001,Petrol,Dealer,Automatic,First Owner,5,14.74,Tamil Nadu,Vellore,Y,South,1991,181.04,Mercedes-Benz,New
153,160,2017,875000,18000,632001,Petrol,Dealer,Automatic,First Owner,5,15.6,Tamil Nadu,Vellore,Y,South,1497,116.3,Honda,City
154,161,2019,894999,9654,500004,Petrol,Dealer,Automatic,First Owner,5,19.56,Telangana,Hyderabad,Y,South,1197,81.8,Toyota,Glanza
155,162,2011,175000,11000,208002,Petrol,Dealer,Manual,First Owner,5,23.95,Uttar Pradesh,kanpur,Y,Central,998,67.05,Maruti,Alto
156,163,2012,340000,24300,201301,Petrol,Dealer,Manual,First Owner,5,21.21,Uttar Pradesh,Noida,Y,Central,1197,81.8,Maruti,Swift
157,164,2016,1525000,42163,110039,Diesel,Dealer,Automatic,Second Owner,7,11.36,Delhi,Delhi,Y,North,2755,171.5,Toyota,Innova
158,165,2018,1025000,8000,560034,Diesel,Dealer,Automatic,First Owner,5,21.5,Karnataka,Bangalore,Y,South,1497,108.5,Tata,Nexon
159,166,2016,2150000,30000,751022,Diesel,Dealer,Automatic,First Owner,5,22.69,Odisha,Bhubaneshwar,Y,East,1995,190.0,BMW,3
160,167,2016,1900000,41000,524225,Petrol,Dealer,Automatic,First Owner,5,19.16,Andhra Pradesh,Nellore,Y,South,2494,157.7,Toyota,Camry
161,168,2016,2900000,12000,751022,Diesel,Dealer,Automatic,First Owner,5,18.12,Odisha,Bhubaneshwar,Y,East,1995,190.0,BMW,5
162,169,2009,450000,71000,452010,Petrol,Dealer,Automatic,First Owner,5,12.1,Madhya Pradesh,Indore,Y,Central,2362,164.7,Toyota,Camry
163,170,2016,850000,20000,751022,Petrol,Individual,Manual,First Owner,7,17.5,Odisha,Bhubaneshwar,Y,East,1373,91.1,Maruti,Ertiga
164,171,2017,10000000,30000,500004,Petrol,Individual,Automatic,First Owner,4,42.0,Telangana,Hyderabad,Y,South,1969,400.0,Volvo,XC90
165,172,2011,300000,100000,700027,Diesel,Individual,Manual,Second Owner,5,20.54,West Bengal,Kolkata,Y,East,1598,103.6,Volkswagen,Vento
166,173,2018,575000,9500,395007,Petrol,Individual,Manual,First Owner,5,18.16,Gujarat,Surat,Y,West,1196,86.8,Ford,Figo
167,174,2011,160000,120000,201301,Diesel,Individual,Manual,First Owner,5,20.0,Uttar Pradesh,Noida,Y,Central,1399,68.0,Ford,Figo
168,175,2015,515000,36600,391510,Petrol,Individual,Manual,First Owner,5,20.4,Gujarat,Vadodara,Y,West,1197,81.8,Maruti,Swift
169,176,2015,390000,50000,382460,Petrol,Individual,Automatic,Second Owner,5,20.51,Gujarat,Ahmedabad,Y,West,998,67.0,Maruti,Wagon
170,177,2016,550000,14000,400001,Petrol,Individual,Manual,Second Owner,5,18.6,Maharashtra,Mumbai,Y,West,1197,81.83,Hyundai,i20
171,178,1999,40000,40000,201301,Petrol,Individual,Manual,Second Owner,4,16.1,Uttar Pradesh,Noida,Y,Central,796,37.0,Maruti,800
172,179,2010,220000,120000,110039,Diesel,Individual,Manual,First Owner,5,21.1,Delhi,Delhi,Y,North,1248,73.9,Maruti,Ritz
173,180,2015,425000,70000,831001,Petrol,Individual,Manual,First Owner,5,18.9,Jharkhand,Jamshedpur,Y,East,1197,82.0,Hyundai,Grand
174,181,2019,480000,13000,400001,Petrol,Individual,Manual,First Owner,5,19.44,Maharashtra,Mumbai,Y,West,999,75.0,Volkswagen,Ameo
175,182,2014,400000,60000,800002,Petrol,Individual,Manual,Second Owner,5,18.9,Bihar,Patna,Y,East,1197,82.0,Hyundai,Grand
176,183,2014,487000,35000,575001,Petrol,Individual,Manual,First Owner,5,19.1,Karnataka,Mangalore,Y,South,1197,85.8,Maruti,Swift
177,184,2016,386000,44000,248001,Petrol,Individual,Manual,Second Owner,5,19.1,Uttarakhand,Dehradun,Y,Central,1197,82.0,Hyundai,Xcent
178,185,2005,100000,120000,800002,Petrol,Individual,Manual,Second Owner,5,13.0,Bihar,Patna,Y,East,1493,100.0,Honda,City
179,186,2010,300000,60000,452010,Diesel,Individual,Manual,First Owner,5,21.43,Madhya Pradesh,Indore,Y,Central,1364,87.2,Toyota,Corolla
180,187,2000,100000,60000,500004,Petrol,Individual,Manual,First Owner,5,18.5,Telangana,Hyderabad,Y,South,796,53.0,Daewoo,Matiz
181,188,2014,1750000,30000,560034,Diesel,Individual,Manual,Second Owner,7,13.0,Karnataka,Bangalore,Y,South,2982,168.5,Toyota,Fortuner
